|soc_code|soc_title|soc_direct_match_title|illustrative_example
8|11-1011|Chief Executives|Admiral|x
9|11-1011|Chief Executives|CEO|
10|11-1011|Chief Executives|Chief Executive Officer|
11|11-1011|Chief Executives|Chief Financial Officer|x
12|11-1011|Chief Executives|Chief Operating Officer|x
13|11-1011|Chief Executives|Chief Sustainability Officer|
14|11-1011|Chief Executives|Commissioner of Internal Revenue|
15|11-1011|Chief Executives|COO|
16|11-1011|Chief Executives|County Commissioner|
17|11-1011|Chief Executives|Government Service Executive|
18|11-1011|Chief Executives|Governor|x
19|11-1011|Chief Executives|Mayor|
20|11-1011|Chief Executives|School Superintendent|x
21|11-1011|Chief Executives|University President|x
22|11-1021|General and Operations Managers|Department Store General Manager|
23|11-1021|General and Operations Managers|Department Store Manager|x
24|11-1021|General and Operations Managers|General Manager|
25|11-1021|General and Operations Managers|General Superintendent|x
26|11-1021|General and Operations Managers|Manufacturing Operations Manager|
27|11-1021|General and Operations Managers|Operational Risk Manager|x
28|11-1021|General and Operations Managers|Operations Manager|
29|11-1021|General and Operations Managers|Radio Station Manager|x
30|11-1021|General and Operations Managers|Television Store Manager|
31|11-1031|Legislators|City Alderman|
32|11-1031|Legislators|City Council Member|x
33|11-1031|Legislators|Congressional Representative|
34|11-1031|Legislators|Councilor|
35|11-1031|Legislators|Legislator|
36|11-1031|Legislators|Member of Congress|
37|11-1031|Legislators|Selectman|
38|11-1031|Legislators|Senator|x
39|11-1031|Legislators|Tribal Council Member|x
40|11-2011|Advertising and Promotions Managers|Advertising Director|x
41|11-2011|Advertising and Promotions Managers|Advertising Executive|x
42|11-2011|Advertising and Promotions Managers|Advertising Manager|
43|11-2011|Advertising and Promotions Managers|Classified Advertising Manager|
44|11-2011|Advertising and Promotions Managers|Promotions Director|x
45|11-2011|Advertising and Promotions Managers|Promotions Manager|
46|11-2011|Advertising and Promotions Managers|VP Advertising|
47|11-2011|Advertising and Promotions Managers|VP Promotions|
48|11-2021|Marketing Managers|Internet Marketing Manager|x
49|11-2021|Marketing Managers|Marketing Administrator|x
50|11-2021|Marketing Managers|Marketing Director|x
51|11-2021|Marketing Managers|VP Marketing|
52|11-2022|Sales Managers|District Sales Manager|x
53|11-2022|Sales Managers|E-Commerce Director|
54|11-2022|Sales Managers|Export Manager|x
55|11-2022|Sales Managers|Regional Sales Manager|x
56|11-2022|Sales Managers|Sales Account Manager|
57|11-2022|Sales Managers|Sales Director|x
58|11-2022|Sales Managers|Territory Sales Manager|
59|11-2032|Public Relations Managers|Communication Manager|
60|11-2032|Public Relations Managers|Public Affairs Director|x
61|11-2032|Public Relations Managers|Public Information Director|
62|11-2032|Public Relations Managers|Public Information Relations Manager|
63|11-2032|Public Relations Managers|Public Relations Director|
64|11-2032|Public Relations Managers|Public Relations Manager|
65|11-2032|Public Relations Managers|Publicity Director|x
66|11-2033|Fundraising Managers|Donor Relations Manager|x
67|11-2033|Fundraising Managers|Foundation Director|x
68|11-2033|Fundraising Managers|Funding Coordinator|x
69|11-2033|Fundraising Managers|Fundraising Director|x
70|11-3012|Administrative Services Managers|Business Office Manager|
71|11-3012|Administrative Services Managers|Business Unit Manager|
72|11-3012|Administrative Services Managers|Records and Information Manager|x
73|11-3012|Administrative Services Managers|Records Management Director|x
74|11-3012|Administrative Services Managers|University Registrar|x
75|11-3013|Facilities Managers|Conference Center Manager|x
76|11-3013|Facilities Managers|Director of University Housing|x
77|11-3013|Facilities Managers|Stadium Manager|x
78|11-3021|Computer and Information Systems Managers|Application Development Director|
79|11-3021|Computer and Information Systems Managers|Chief Technology Officer|x
80|11-3021|Computer and Information Systems Managers|Computer Operations Manager|
81|11-3021|Computer and Information Systems Managers|Computer Security Manager|
82|11-3021|Computer and Information Systems Managers|Data Operations Director|
83|11-3021|Computer and Information Systems Managers|Data Processing Manager|
84|11-3021|Computer and Information Systems Managers|Information Systems Director|
85|11-3021|Computer and Information Systems Managers|Information Systems Manager|
86|11-3021|Computer and Information Systems Managers|Information Technology Director|
87|11-3021|Computer and Information Systems Managers|Information Technology Systems Director|x
88|11-3021|Computer and Information Systems Managers|Internet Technology Manager|
89|11-3021|Computer and Information Systems Managers|Management Information Systems Director|x
90|11-3021|Computer and Information Systems Managers|MIS Director|
91|11-3031|Financial Managers|Bank Branch Manager|x
92|11-3031|Financial Managers|Banking Center Manager|
93|11-3031|Financial Managers|Banking Manager|
94|11-3031|Financial Managers|City Comptroller|
95|11-3031|Financial Managers|City Treasurer|
96|11-3031|Financial Managers|Comptroller|x
97|11-3031|Financial Managers|Credit Manager|
98|11-3031|Financial Managers|Financial Director|x
99|11-3031|Financial Managers|Financial Officer|
100|11-3031|Financial Managers|Fiscal Manager|
101|11-3031|Financial Managers|International Bank Manager|
102|11-3031|Financial Managers|Residential Mortgage Manager|
103|11-3051|Industrial Production Managers|Industrial Production Manager|
104|11-3051|Industrial Production Managers|Manufacturing Director|x
105|11-3051|Industrial Production Managers|Plant Chief|
106|11-3051|Industrial Production Managers|Plant Manager|x
107|11-3051|Industrial Production Managers|Plant Superintendent|
108|11-3051|Industrial Production Managers|Production Control Manager|x
109|11-3061|Purchasing Managers|Contract Administrator|
110|11-3061|Purchasing Managers|Contracting Manager|x
111|11-3061|Purchasing Managers|Director of Strategic Sourcing|
112|11-3061|Purchasing Managers|Procurement Manager|x
113|11-3061|Purchasing Managers|Purchasing Director|x
114|11-3061|Purchasing Managers|Sourcing Manager|
115|11-3071|Transportation, Storage, and Distribution Managers|Airport Manager|
116|11-3071|Transportation, Storage, and Distribution Managers|Cold Storage Supervisor|
117|11-3071|Transportation, Storage, and Distribution Managers|Distribution Center Manager|x
118|11-3071|Transportation, Storage, and Distribution Managers|Logistics Manager|
119|11-3071|Transportation, Storage, and Distribution Managers|Logistics Supply Officer|
120|11-3071|Transportation, Storage, and Distribution Managers|Marine Oil Terminal Superintendent|
121|11-3071|Transportation, Storage, and Distribution Managers|Traffic Safety Administrator|x
122|11-3071|Transportation, Storage, and Distribution Managers|Transportation Manager|
123|11-3071|Transportation, Storage, and Distribution Managers|Warehouse Manager|x
124|11-3071|Transportation, Storage, and Distribution Managers|Warehouse Operations Manager|
125|11-3111|Compensation and Benefits Managers|Compensation Director|x
126|11-3111|Compensation and Benefits Managers|Employee Benefits Coordinator|
127|11-3111|Compensation and Benefits Managers|Employee Benefits Director|x
128|11-3111|Compensation and Benefits Managers|Employee Benefits Manager|
129|11-3111|Compensation and Benefits Managers|Wage and Salary Administrator|x
130|11-3121|Human Resources Managers|Employee Relations Manager|
131|11-3121|Human Resources Managers|Job Analysis Manager|x
132|11-3121|Human Resources Managers|Labor Relations Director|x
133|11-3121|Human Resources Managers|Personnel Administrator|
134|11-3121|Human Resources Managers|Personnel Director|
135|11-3121|Human Resources Managers|Personnel Manager|x
136|11-3121|Human Resources Managers|Position Description Manager|x
137|11-3131|Training and Development Managers|E-Learning Manager|x
138|11-3131|Training and Development Managers|Employee Development Director|x
139|11-3131|Training and Development Managers|Employee Development Manager|
140|11-3131|Training and Development Managers|Labor Training Manager|x
141|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Agricultural Crop Farm Manager|
142|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Animal Husbandry Manager|x
143|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Aquaculture Farm Manager|
144|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Beef Farm Operator|
145|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Christmas Tree Farm Manager|
146|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Dairy Farm Manager|x
147|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Fish Hatchery Manager|x
148|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Greenhouse Manager|
149|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Hatchery Manager|
150|11-9013|Farmers, Ranchers, and Other Agricultural Managers|Orchard Manager|x
151|11-9021|Construction Managers|Construction Coordinator|x
152|11-9021|Construction Managers|Construction Superintendent|x
153|11-9021|Construction Managers|General Contractor|x
154|11-9021|Construction Managers|Masonry Contractor Administrator|
155|11-9031|Education and Childcare Administrators, Preschool and Day Care|Childcare Center Administrator|x
156|11-9031|Education and Childcare Administrators, Preschool and Day Care|Childcare Center Director|
157|11-9031|Education and Childcare Administrators, Preschool and Day Care|Early Head Start Director|
158|11-9031|Education and Childcare Administrators, Preschool and Day Care|Head Start Director|x
159|11-9031|Education and Childcare Administrators, Preschool and Day Care|Prekindergarten Program Coordinator|
160|11-9031|Education and Childcare Administrators, Preschool and Day Care|Preschool Director|x
161|11-9032|Education Administrators, Kindergarten through Secondary|Elementary School Principal|x
162|11-9032|Education Administrators, Kindergarten through Secondary|High School Principal|x
163|11-9032|Education Administrators, Kindergarten through Secondary|Junior High School Principal|
164|11-9032|Education Administrators, Kindergarten through Secondary|K-12 School Principal|
165|11-9032|Education Administrators, Kindergarten through Secondary|K-8 School Principal|
166|11-9032|Education Administrators, Kindergarten through Secondary|Middle School Principal|x
167|11-9032|Education Administrators, Kindergarten through Secondary|Secondary School Principal|
168|11-9033|Education Administrators, Postsecondary|Continuing Education Director|
169|11-9033|Education Administrators, Postsecondary|Director of Student Services|x
170|11-9033|Education Administrators, Postsecondary|Graduate School Dean|
171|11-9033|Education Administrators, Postsecondary|Graduate Studies Dean|
172|11-9033|Education Administrators, Postsecondary|Provost|x
173|11-9033|Education Administrators, Postsecondary|University Dean|x
174|11-9033|Education Administrators, Postsecondary|University Department Chair|x
175|11-9041|Architectural and Engineering Managers|Electrical Engineering Director|
176|11-9041|Architectural and Engineering Managers|Engineering Design Manager|x
177|11-9041|Architectural and Engineering Managers|Engineering Manager|
178|11-9041|Architectural and Engineering Managers|Engineering Research Manager|
179|11-9041|Architectural and Engineering Managers|Global Engineering Manager|x
180|11-9041|Architectural and Engineering Managers|Mechanical Engineering Director|x
181|11-9041|Architectural and Engineering Managers|Process Engineering Manager|
182|11-9051|Food Service Managers|Banquet Director|x
183|11-9051|Food Service Managers|Banquet Manager|
184|11-9051|Food Service Managers|Cafeteria Director|
185|11-9051|Food Service Managers|Food and Beverage Manager|
186|11-9051|Food Service Managers|Food Service Director|x
187|11-9051|Food Service Managers|Restaurant General Manager|
188|11-9051|Food Service Managers|Tavern Operator|x
189|11-9071|Gambling Managers|Bingo Manager|
190|11-9071|Gambling Managers|Casino Manager|x
191|11-9071|Gambling Managers|Gambling Department Head|
192|11-9071|Gambling Managers|Gambling Director|
193|11-9071|Gambling Managers|Gambling Manager|
194|11-9071|Gambling Managers|Slot Operations Director|x
195|11-9071|Gambling Managers|Slots Manager|
196|11-9071|Gambling Managers|Table Games Manager|x
197|11-9072|Entertainment and Recreation Managers, Except Gambling|Amusement Park Manager|x
198|11-9072|Entertainment and Recreation Managers, Except Gambling|Boat Club Manager|
199|11-9072|Entertainment and Recreation Managers, Except Gambling|Fitness Club Manager|x
200|11-9072|Entertainment and Recreation Managers, Except Gambling|Golf Club Manager|
201|11-9072|Entertainment and Recreation Managers, Except Gambling|Marina Club Manager|x
202|11-9072|Entertainment and Recreation Managers, Except Gambling|Skating Rink Manager|x
203|11-9072|Entertainment and Recreation Managers, Except Gambling|Ski Resort Manager|x
204|11-9072|Entertainment and Recreation Managers, Except Gambling|Tennis Club Manager|
205|11-9072|Entertainment and Recreation Managers, Except Gambling|Theme Park Manager|
206|11-9081|Lodging Managers|Bed and Breakfast Innkeeper|x
207|11-9081|Lodging Managers|Boardinghouse Keeper|
208|11-9081|Lodging Managers|Hotel Director|
209|11-9081|Lodging Managers|Hotel Manager|x
210|11-9081|Lodging Managers|Hotel Operations Manager|
211|11-9081|Lodging Managers|Innkeeper|x
212|11-9081|Lodging Managers|Lodging Facilities Manager|
213|11-9111|Medical and Health Services Managers|Chief Medical Information Officer|x
214|11-9111|Medical and Health Services Managers|Clinic Director|x
215|11-9111|Medical and Health Services Managers|Clinical Informatics Director|x
216|11-9111|Medical and Health Services Managers|Clinical Services Director|
217|11-9111|Medical and Health Services Managers|Emergency Medical Service Coordinator|
218|11-9111|Medical and Health Services Managers|Health Care Manager|
219|11-9111|Medical and Health Services Managers|Health Information Services Manager|x
220|11-9111|Medical and Health Services Managers|Health Services Administrator|
221|11-9111|Medical and Health Services Managers|Health Services Director|
222|11-9111|Medical and Health Services Managers|Healthcare Administrator|
223|11-9111|Medical and Health Services Managers|Healthcare Manager|
224|11-9111|Medical and Health Services Managers|Hospice Director|
225|11-9111|Medical and Health Services Managers|Hospice Plan Administrator|
226|11-9111|Medical and Health Services Managers|Hospital Administrator|x
227|11-9111|Medical and Health Services Managers|Hospital Director|
228|11-9111|Medical and Health Services Managers|Medical and Health Information Manager|
229|11-9111|Medical and Health Services Managers|Medical Director|
230|11-9111|Medical and Health Services Managers|Medical Records Administrator|x
231|11-9111|Medical and Health Services Managers|Mental Health Program Manager|x
232|11-9111|Medical and Health Services Managers|Nursing Home Manager|
233|11-9111|Medical and Health Services Managers|Nursing Service Director|
234|11-9111|Medical and Health Services Managers|Occupational Therapy Director|
235|11-9111|Medical and Health Services Managers|Public Health Administrator|
236|11-9111|Medical and Health Services Managers|Respiratory Therapy Director|
237|11-9111|Medical and Health Services Managers|Speech and Hearing Therapy Director|
238|11-9111|Medical and Health Services Managers|Wellness Director|
239|11-9111|Medical and Health Services Managers|Wellness Manager|
240|11-9121|Natural Sciences Managers|Agricultural Research Director|x
241|11-9121|Natural Sciences Managers|Geochemical Manager|
242|11-9121|Natural Sciences Managers|Geophysical Manager|x
243|11-9121|Natural Sciences Managers|Ocean Program Administrator|x
244|11-9131|Postmasters and Mail Superintendents|Postal Supervisor|x
245|11-9131|Postmasters and Mail Superintendents|Postmaster|x
246|11-9141|Property, Real Estate, and Community Association Managers|Apartment Manager|x
247|11-9141|Property, Real Estate, and Community Association Managers|Building Rental Manager|x
248|11-9141|Property, Real Estate, and Community Association Managers|Community Association Manager|
249|11-9141|Property, Real Estate, and Community Association Managers|Condominium Association Manager|
250|11-9141|Property, Real Estate, and Community Association Managers|Homeowner Association Manager|
251|11-9141|Property, Real Estate, and Community Association Managers|Land Acquisition Manager|
252|11-9141|Property, Real Estate, and Community Association Managers|Leasing Property Manager|x
253|11-9141|Property, Real Estate, and Community Association Managers|Property Manager|
254|11-9141|Property, Real Estate, and Community Association Managers|Real Estate Manager|
255|11-9151|Social and Community Service Managers|Child Welfare Director|x
256|11-9151|Social and Community Service Managers|Community Service Director|
257|11-9151|Social and Community Service Managers|Community Service Organization Director|
258|11-9151|Social and Community Service Managers|Family Service Center Director|x
259|11-9151|Social and Community Service Managers|Neighborhood Service Center Director|
260|11-9151|Social and Community Service Managers|Social Service Director|
261|11-9151|Social and Community Service Managers|Social Services Director|
262|11-9151|Social and Community Service Managers|Youth Program Director|x
263|11-9161|Emergency Management Directors|Director of Civil Defense|
264|11-9161|Emergency Management Directors|Disaster Response Director|x
265|11-9161|Emergency Management Directors|Emergency Management System Director|
266|11-9161|Emergency Management Directors|Emergency Planner|
267|11-9161|Emergency Management Directors|Emergency Planning and Response Manager|
268|11-9161|Emergency Management Directors|Emergency Preparedness Coordinator|x
269|11-9161|Emergency Management Directors|Emergency Services Director|
270|11-9161|Emergency Management Directors|Emergency Services Program Coordinator|
271|11-9161|Emergency Management Directors|EMS Director|
272|11-9161|Emergency Management Directors|Public Safety Director|x
273|11-9171|Funeral Home Managers|Funeral Home Director|x
274|11-9171|Funeral Home Managers|Funeral Home Manager|
275|11-9171|Funeral Home Managers|Funeral Service Manager|
276|11-9179|Personal Service Managers, All Other|Day Spa Director|x
277|11-9179|Personal Service Managers, All Other|Nail Salon Manager|x
278|11-9179|Personal Service Managers, All Other|Travel Agency Manager|x
279|11-9199|Managers, All Other|Clerk of Court|x
280|11-9199|Managers, All Other|Environmental Control Administrator|
281|11-9199|Managers, All Other|Highway Patrol Commander|
282|11-9199|Managers, All Other|Safety Coordinator|
283|11-9199|Managers, All Other|Social Science Manager|x
284|11-9199|Managers, All Other|Utilities Manager|x
285|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Artist Manager|
286|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Artist Representative|
287|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Author's Agent|
288|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Band Manager|x
289|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Booking Agent|
290|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Booking Manager|
291|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Fight Manager|
292|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Literary Agent|x
293|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Modeling Agent|
294|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Talent Agent|
295|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Talent Manager|
296|13-1011|Agents and Business Managers of Artists, Performers, and Athletes|Theatrical Agent|x
297|13-1021|Buyers and Purchasing Agents, Farm Products|Cattle Buyer|
298|13-1021|Buyers and Purchasing Agents, Farm Products|Cotton Broker|x
299|13-1021|Buyers and Purchasing Agents, Farm Products|Cotton Buyer|
300|13-1021|Buyers and Purchasing Agents, Farm Products|Fruit Buyer|x
301|13-1021|Buyers and Purchasing Agents, Farm Products|Grain Buyer|
302|13-1021|Buyers and Purchasing Agents, Farm Products|Hog Buyer|
303|13-1021|Buyers and Purchasing Agents, Farm Products|Livestock Buyer|x
304|13-1021|Buyers and Purchasing Agents, Farm Products|Oyster Buyer|
305|13-1021|Buyers and Purchasing Agents, Farm Products|Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products|
306|13-1021|Buyers and Purchasing Agents, Farm Products|Tobacco Buyer|
307|13-1022|Wholesale and Retail Buyers, Except Farm Products|Gold Buyer|x
308|13-1022|Wholesale and Retail Buyers, Except Farm Products|Merchandise Buyer|x
309|13-1022|Wholesale and Retail Buyers, Except Farm Products|Retail Buyer|
310|13-1022|Wholesale and Retail Buyers, Except Farm Products|Tie Buyer|
311|13-1022|Wholesale and Retail Buyers, Except Farm Products|Wholesale Buyer|
312|13-1023|Purchasing Agents, Except Wholesale, Retail, and Farm Products|Equipment, Supplies, and Tools Purchasing Agent|x
313|13-1023|Purchasing Agents, Except Wholesale, Retail, and Farm Products|Radio Time Buyer|x
314|13-1031|Claims Adjusters, Examiners, and Investigators|Claims Analyst|
315|13-1031|Claims Adjusters, Examiners, and Investigators|Fire Claims Adjuster|x
316|13-1031|Claims Adjusters, Examiners, and Investigators|Health Claims Examiner|
317|13-1031|Claims Adjusters, Examiners, and Investigators|Health Insurance Adjuster|x
318|13-1031|Claims Adjusters, Examiners, and Investigators|Independent Insurance Adjuster|
319|13-1031|Claims Adjusters, Examiners, and Investigators|Medical Claims Analyst|
320|13-1031|Claims Adjusters, Examiners, and Investigators|Medical Claims Examiner|
321|13-1031|Claims Adjusters, Examiners, and Investigators|Property and Casualty Insurance Claims Examiner|x
322|13-1031|Claims Adjusters, Examiners, and Investigators|Property Damage Claims Adjustor|
323|13-1031|Claims Adjusters, Examiners, and Investigators|Reinsurance Claims Analyst|
324|13-1031|Claims Adjusters, Examiners, and Investigators|Workers Compensation Claims Adjuster|
325|13-1031|Claims Adjusters, Examiners, and Investigators|Workers Compensation Claims Examiner|
326|13-1032|Insurance Appraisers, Auto Damage|Auto Damage Appraiser|
327|13-1032|Insurance Appraisers, Auto Damage|Auto Damage Insurance Appraiser|
328|13-1032|Insurance Appraisers, Auto Damage|Automobile Damage Appraiser|x
329|13-1032|Insurance Appraisers, Auto Damage|Vehicle Damage Appraiser|x
330|13-1041|Compliance Officers|Air Pollution Compliance Inspector|
331|13-1041|Compliance Officers|Compliance Investigator|
332|13-1041|Compliance Officers|Driver's License Examiner|x
333|13-1041|Compliance Officers|EEO Officer|
334|13-1041|Compliance Officers|Environmental Compliance Inspector|x
335|13-1041|Compliance Officers|Equal Employment Opportunity Investigator|
336|13-1041|Compliance Officers|Equal Employment Opportunity Officer|x
337|13-1041|Compliance Officers|Equal Employment Opportunity Representative|
338|13-1041|Compliance Officers|Immigration Investigator|
339|13-1041|Compliance Officers|Inspector of Weights and Measures|
340|13-1041|Compliance Officers|License Inspector|
341|13-1041|Compliance Officers|Mortician Investigator|
342|13-1041|Compliance Officers|Wage and Hour Investigator|
343|13-1051|Cost Estimators|Construction Estimator|
344|13-1051|Cost Estimators|Construction Job Cost Estimator|x
345|13-1051|Cost Estimators|Crating and Moving Estimator|x
346|13-1051|Cost Estimators|Electrical Estimator|
347|13-1051|Cost Estimators|Job Estimator|
348|13-1051|Cost Estimators|Production Cost Estimator|x
349|13-1071|Human Resources Specialists|Corporate Recruiter|
350|13-1071|Human Resources Specialists|Credentialing Coordinator|
351|13-1071|Human Resources Specialists|Employee Placement Specialist|
352|13-1071|Human Resources Specialists|Human Resources Generalist|x
353|13-1071|Human Resources Specialists|Job Placement Officer|
354|13-1071|Human Resources Specialists|Job Placement Specialist|
355|13-1071|Human Resources Specialists|Job Recruiter|
356|13-1071|Human Resources Specialists|Personnel Coordinator|
357|13-1071|Human Resources Specialists|Personnel Officer|
358|13-1071|Human Resources Specialists|Personnel Recruiter|x
359|13-1071|Human Resources Specialists|Personnel Specialist|
360|13-1071|Human Resources Specialists|Staffing Coordinator|x
361|13-1071|Human Resources Specialists|Student Recruiter|x
362|13-1071|Human Resources Specialists|Volunteer Coordinator|x
363|13-1074|Farm Labor Contractors|Farm Labor Contractor|
364|13-1074|Farm Labor Contractors|Harvesting Contractor|x
365|13-1075|Labor Relations Specialists|Employee Relations Specialist|x
366|13-1075|Labor Relations Specialists|Industrial Relations Analyst|
367|13-1075|Labor Relations Specialists|Industrial Relations Specialist|
368|13-1075|Labor Relations Specialists|Labor Relations Consultant|x
369|13-1075|Labor Relations Specialists|Labor Relations Representative|
370|13-1075|Labor Relations Specialists|Union Representative|x
371|13-1081|Logisticians|Logistician|
372|13-1081|Logisticians|Logistics Analyst|x
373|13-1081|Logisticians|Logistics Coordinator|
374|13-1081|Logisticians|Logistics Planner|x
375|13-1081|Logisticians|Logistics Specialist|x
376|13-1082|Project Management Specialists|Design Project Management Specialists|x
377|13-1082|Project Management Specialists|Movie Project Management Specialists|x
378|13-1111|Management Analysts|Business Analyst|
379|13-1111|Management Analysts|Business Consultant|
380|13-1111|Management Analysts|Business Management Analyst|x
381|13-1111|Management Analysts|Business Process Consultant|x
382|13-1111|Management Analysts|Clerical Methods Analyst|
383|13-1111|Management Analysts|Commercial Specialist|
384|13-1111|Management Analysts|Industrial Analyst|x
385|13-1111|Management Analysts|Management Consultant|
386|13-1111|Management Analysts|Records Management Analyst|
387|13-1111|Management Analysts|University Institutional Researcher|x
388|13-1121|Meeting, Convention, and Event Planners|Certified Meeting Professional|
389|13-1121|Meeting, Convention, and Event Planners|Conference Organizer|
390|13-1121|Meeting, Convention, and Event Planners|Conference Planner|x
391|13-1121|Meeting, Convention, and Event Planners|Conference Planning Manager|
392|13-1121|Meeting, Convention, and Event Planners|Conference Services Director|
393|13-1121|Meeting, Convention, and Event Planners|Conference Services Manager|
394|13-1121|Meeting, Convention, and Event Planners|Convention Planner|
395|13-1121|Meeting, Convention, and Event Planners|Convention Services Manager|
396|13-1121|Meeting, Convention, and Event Planners|Corporate Meeting Planner|x
397|13-1121|Meeting, Convention, and Event Planners|Event Planner|
398|13-1121|Meeting, Convention, and Event Planners|Events Manager|
399|13-1121|Meeting, Convention, and Event Planners|Wedding Planner|x
400|13-1131|Fundraisers|Campaign Fundraiser|x
401|13-1131|Fundraisers|Donor Relations Officer|x
402|13-1131|Fundraisers|Fundraising Officer|x
403|13-1141|Compensation, Benefits, and Job Analysis Specialists|Benefits Analyst|
404|13-1141|Compensation, Benefits, and Job Analysis Specialists|Compensation Analyst|
405|13-1141|Compensation, Benefits, and Job Analysis Specialists|Compensation Specialist|
406|13-1141|Compensation, Benefits, and Job Analysis Specialists|Employee Benefits Specialist|x
407|13-1141|Compensation, Benefits, and Job Analysis Specialists|Job Analyst|x
408|13-1141|Compensation, Benefits, and Job Analysis Specialists|Job Specification Writer|
409|13-1141|Compensation, Benefits, and Job Analysis Specialists|Occupational Analyst|
410|13-1141|Compensation, Benefits, and Job Analysis Specialists|Pension Administrator|
411|13-1141|Compensation, Benefits, and Job Analysis Specialists|Position Classification Specialist|
412|13-1141|Compensation, Benefits, and Job Analysis Specialists|Retirement Plan Specialist|x
413|13-1151|Training and Development Specialists|Computer Software Training Specialist|x
414|13-1151|Training and Development Specialists|Computer Training Specialist|x
415|13-1151|Training and Development Specialists|Corporate Trainer|x
416|13-1151|Training and Development Specialists|Employee Development Specialist|
417|13-1151|Training and Development Specialists|Insurance Employee Trainer|x
418|13-1151|Training and Development Specialists|Job Training Specialist|
419|13-1151|Training and Development Specialists|Training Coordinator|
420|13-1151|Training and Development Specialists|Training Specialist|
421|13-1161|Market Research Analysts and Marketing Specialists|Advertising Analyst|x
422|13-1161|Market Research Analysts and Marketing Specialists|Market Research Analyst|
423|13-1161|Market Research Analysts and Marketing Specialists|Market Research Specialist|x
424|13-1161|Market Research Analysts and Marketing Specialists|Marketing Analyst|
425|13-1161|Market Research Analysts and Marketing Specialists|Marketing Consultant|x
426|13-1161|Market Research Analysts and Marketing Specialists|Marketing Forecaster|x
427|13-1161|Market Research Analysts and Marketing Specialists|Marketing Specialist|
428|13-1161|Market Research Analysts and Marketing Specialists|Search Marketing Strategist|x
429|13-1199|Business Operations Specialists, All Other|Mystery Shopper|x
430|13-1199|Business Operations Specialists, All Other|Ship Purser|x
431|13-2011|Accountants and Auditors|Account Auditor|
432|13-2011|Accountants and Auditors|Accountant|
433|13-2011|Accountants and Auditors|Auditor|
434|13-2011|Accountants and Auditors|Auditor-In-Charge|
435|13-2011|Accountants and Auditors|Certified Public Accountant|x
436|13-2011|Accountants and Auditors|Cost Accountant|
437|13-2011|Accountants and Auditors|CPA|
438|13-2011|Accountants and Auditors|Field Auditor|x
439|13-2011|Accountants and Auditors|Financial Accountant|
440|13-2011|Accountants and Auditors|Financial Auditor|
441|13-2011|Accountants and Auditors|Fund Accountant|
442|13-2011|Accountants and Auditors|Internal Auditor|x
443|13-2011|Accountants and Auditors|Payroll Auditor|
444|13-2011|Accountants and Auditors|Tax Accountant|
445|13-2022|Appraisers of Personal and Business Property|Estate Appraiser|x
446|13-2022|Appraisers of Personal and Business Property|Machinery Appraiser|x
447|13-2022|Appraisers of Personal and Business Property|Personal Property Assessor|x
448|13-2023|Appraisers and Assessors of Real Estate|Real Estate Appraiser|x
449|13-2023|Appraisers and Assessors of Real Estate|Real Estate Assessor|x
450|13-2023|Appraisers and Assessors of Real Estate|Real Property Evaluator|
451|13-2023|Appraisers and Assessors of Real Estate|Residential Fee Appraiser|
452|13-2031|Budget Analysts|Budget Analyst|
453|13-2031|Budget Analysts|Budget Coordinator|
454|13-2031|Budget Analysts|Budget Examiner|x
455|13-2031|Budget Analysts|Budget Officer|x
456|13-2031|Budget Analysts|Cost Analyst|x
457|13-2041|Credit Analysts|Chief Credit Analyst|
458|13-2041|Credit Analysts|Credit Analyst|
459|13-2041|Credit Analysts|Credit Assessment Analyst|x
460|13-2041|Credit Analysts|Credit Risk Analyst|x
461|13-2041|Credit Analysts|Factorer|
462|13-2051|Financial and Investment Analysts|Corporate Financial Analyst|x
463|13-2051|Financial and Investment Analysts|Corporate Securities Research Analyst|x
464|13-2051|Financial and Investment Analysts|Corporate Statistical Financial Analyst|
465|13-2051|Financial and Investment Analysts|Institutional Commodity Analyst|x
466|13-2051|Financial and Investment Analysts|Organizational Investment Analyst|x
467|13-2052|Personal Financial Advisors|Certified Financial Planner|
468|13-2052|Personal Financial Advisors|Estate Planner|x
